$ps ax

  PID TTY      STAT   TIME COMMAND
25736 tty2     Sl+    0:00 /snap/pycharm-community/240/jbr/lib/jcef_helper --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=9261215645749785570,1206382361465899
25756 pts/1    Ss     0:03 /bin/bash --rcfile /snap/pycharm-community/240/plugins/terminal/jediterm-bash.in -i
25778 tty2     Sl+    0:56 /snap/pycharm-community/240/jbr/lib/jcef_helper --type=renderer --disable-in-process-stack-traces --no-sandbox --force-device-scale-factor=1.0 --log-file=/home/b/jcef_2
25845 tty2     Sl+   45:28 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 27 -isForBrowser -prefsLen 10083 -prefMapSize 220111 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/b
26059 pts/1    T      0:00 man ps
26069 pts/1    T      0:00 pager
26446 tty2     Sl+    1:15 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 31 -isForBrowser -prefsLen 10083 -prefMapSize 220111 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/b
26574 pts/0    Ss     0:00 /bin/bash --rcfile /snap/pycharm-community/240/plugins/terminal/jediterm-bash.in -i
26924 pts/0    S      0:00 su
26925 pts/0    S+     0:00 bash
26928 tty2     Sl+   39:38 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 35 -isForBrowser -prefsLen 10083 -prefMapSize 220111 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/b
27014 tty2     Sl+    0:34 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 37 -isForBrowser -prefsLen 10083 -prefMapSize 220111 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/b
27097 pts/1    T      0:00 man ps
27107 pts/1    T      0:00 pager
27179 pts/1    T      0:00 man proc
27189 pts/1    T      0:00 pager
27278 pts/1    T      0:00 man proc
27288 pts/1    T      0:00 pager
27339 tty2     Sl+    0:43 /usr/bin/python3 /snap/pycharm-community/240/plugins/python-ce/helpers/pydev/pydevconsole.py --mode=client --port=40765
27379 pts/1    T      0:00 man proc
27389 pts/1    T      0:00 pager
27420 ?        Ss     0:00 /usr/sbin/cupsd -l
27421 ?        Ssl    0:00 /usr/sbin/cups-browsed
27576 pts/1    T      0:00 man proc
27586 pts/1    T      0:00 pager
27617 tty2     Sl+    0:08 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 38 -isForBrowser -prefsLen 10083 -prefMapSize 220111 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/b
27925 pts/0    T      0:00 man proc
27935 pts/0    T      0:00 pager
28028 pts/0    T      0:00 man proc
28038 pts/0    T      0:00 pager
28629 pts/1    T      0:00 man date
28639 pts/1    T      0:00 pager
28772 ?        I      0:28 [kworker/3:2-mm_percpu_wq]
28837 pts/1    T      0:00 man ps
28847 pts/1    T      0:00 pager
28859 pts/1    T      0:00 man ps
28869 pts/1    T      0:00 pager
29107 ?        I      0:46 [kworker/0:0-events]
29131 pts/1    T      0:00 man ps
29141 pts/1    T      0:00 pager
29190 ?        I<     0:05 [kworker/u33:4-kcryptd]
29340 pts/1    T      0:00 man ls
29350 pts/1    T      0:00 pager
